Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,14,0,1900,1761.7918094287493,871.4997909846716,2227.1127499989234,100998.0,1.566092370403021,0.0,1900,2000,2000,2100,2100,2200,2200,2200,2200,2200,2200
GET,GET /api/health,15,0,530,603.1330307984414,92.59783400921151,1085.1276670000516,46.0,1.6779561111460939,0.0,530,720,980,980,1100,1100,1100,1100,1100,1100,1100
GET,GET /api/public/competition,12,0,290,372.3780001722237,234.7080420004204,1000.429667008575,416.0,1.342364888916875,0.0,290,290,490,490,510,1000,1000,1000,1000,1000,1000
GET,GET /api/public/event-state,5,0,480,639.6961498016026,212.46124999015592,1146.749458013801,14.0,0.5593187037153646,0.0,480,1000,1000,1100,1100,1100,1100,1100,1100,1100,1100
GET,GET /api/public/finalists,2,0,414.8052920063492,764.1657920030411,414.8052920063492,1113.526291999733,12.0,0.22372748148614582,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,GET /api/public/scoreboard,5,0,490,549.7032002080232,351.2055840110406,1008.83058400359,14.0,0.5593187037153646,0.0,490,500,500,1000,1000,1000,1000,1000,1000,1000,1000
GET,GET /api/public/timeline,10,0,710,752.6515790028498,249.6487500029616,1083.3782909903675,1398.0,1.1186374074307293,0.0,870,880,960,1000,1100,1100,1100,1100,1100,1100,1100
GET,GET /dang-nhap,1,0,1046.3697499944828,1046.3697499944828,1046.3697499944828,1046.3697499944828,16794.0,0.11186374074307291,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,GET /faq,13,0,900,1125.357564073056,394.5406249840744,1878.2717919966672,26604.923076923078,1.454228629659948,0.0,900,1200,1600,1600,1900,1900,1900,1900,1900,1900,1900
GET,GET /lich-trinh,3,0,1000,1235.9653750027064,856.0935420100577,1840.9553329984192,22762.0,0.3355912222292188,0.0,1000,1000,1800,1800,1800,1800,1800,1800,1800,1800,1800
GET,GET /the-le,9,0,930,1111.920995563398,592.5859999842942,1597.0512080239132,17264.777777777777,1.0067736666876563,0.0,930,1500,1500,1600,1600,1600,1600,1600,1600,1600,1600
GET,GET /tin-tuc,8,0,1400,1306.9366457530123,705.8799579972401,1859.0512500086334,17205.0,0.8949099259445833,0.0,1500,1600,1600,1600,1900,1900,1900,1900,1900,1900,1900
GET,GET /tin-tuc/huong-dan-dang-ky-va-audition,4,0,1100,1212.26344799652,891.2296250055078,1521.038624981884,28573.0,0.44745496297229165,0.0,1300,1300,1500,1500,1500,1500,1500,1500,1500,1500,1500
,Aggregated,101,0,890,969.0911984768475,92.59783400921151,2227.1127499989234,22495.61386138614,11.298237815050365,0.0,890,1100,1400,1600,1900,2000,2100,2100,2200,2200,2200
