Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,239,0,3200,3325.3412369298203,2049.100249976618,7663.306458998704,100991.10460251046,0.7985060044463742,0.0,3200,3500,3700,3900,4300,4600,5500,7400,7700,7700,7700
GET,GET / [scoreboard surge],183,0,3300,3268.784560569463,2090.9385830163956,5662.468542024726,100990.6393442623,0.611408363237182,0.0,3300,3500,3600,3800,4100,4400,5100,5600,5700,5700,5700
GET,GET /api/auth/csrf,161,0,1900,1925.7417047321826,917.6684590056539,5507.80091699562,80.0,0.5379057184764279,0.0,1900,2100,2300,2400,2500,2900,3700,4900,5500,5500,5500
GET,GET /api/auth/csrf [auth user],64,0,1900,1971.4852968900232,160.98620800767094,4420.697125024162,80.0,0.21382587566764832,0.0,2000,2200,2400,2600,2800,3000,3500,4400,4400,4400,4400
GET,GET /api/health,267,0,2000,2081.869847636189,1050.5632079730276,5311.882958019851,46.0,0.8920548250509703,0.0,2000,2200,2400,2500,2900,3400,3700,4500,5300,5300,5300
GET,GET /api/public/competition,217,0,1800,1987.2900482207056,987.7458749979269,5757.445291004842,416.0,0.7250033596856201,0.0,1800,2100,2300,2400,2800,3200,4600,5500,5800,5800,5800
GET,GET /api/public/event-state,388,0,1900,2061.7103762884917,529.5043340011034,5964.297334023286,14.0,1.296319371235118,0.0,1900,2300,2500,2600,2900,3400,3800,4500,6000,6000,6000
GET,GET /api/public/event-state [auth],110,0,1900,2084.9432265653213,1086.7741249967366,4262.323417002335,14.0,0.36751322380377055,0.0,2000,2200,2500,2700,3100,3400,3700,3700,4300,4300,4300
GET,GET /api/public/finalists,63,0,1700,1893.916447727298,905.6731250020675,4397.234000003664,12.0,0.21048484636034132,0.0,1700,2200,2300,2400,2600,2800,3100,4400,4400,4400,4400
GET,GET /api/public/scoreboard,561,0,1800,1934.6950794746535,349.206624989165,5926.253457990242,14.0,1.8743174413992298,0.0,1800,2100,2300,2400,2700,3000,3500,4900,5900,5900,5900
GET,GET /api/public/scoreboard [auth],228,0,1800,1930.3486821978975,916.1573749734089,4339.31837498676,14.0,0.7617546820659972,0.0,1800,2100,2300,2400,2700,3000,3300,3600,4300,4300,4300
GET,GET /api/public/timeline,124,0,1800,1904.4211313711487,950.5889579886571,4272.024041012628,1398.0,0.4142876341060686,0.0,1800,2000,2200,2300,2700,2800,2900,3500,4300,4300,4300
GET,GET /dang-ky,226,0,2500,2581.2315112841366,1501.3047910179012,6668.220666004345,17219.71238938053,0.7550726234513832,0.0,2500,2700,2900,3000,3400,3900,5000,5800,6700,6700,6700
GET,GET /dang-ky [discover action],10,0,2400,2581.7736624972895,917.9144169902429,4608.15062499023,17218.0,0.03341029307307005,0.0,2400,2600,2800,4400,4600,4600,4600,4600,4600,4600,4600
GET,GET /dang-nhap,242,0,2500,2634.718702069613,1485.5311249848455,6988.422875001561,16794.888429752067,0.8085290923682953,0.0,2500,2800,3000,3100,3500,3800,5000,6300,7000,7000,7000
GET,GET /dashboard,95,0,3900,3859.7022035575815,2643.0020840198267,5222.8264170116745,20302.0,0.3173977841941655,0.0,3900,4200,4300,4400,4700,5000,5200,5200,5200,5200,5200
GET,GET /faq,77,0,2600,2821.6257360125073,1873.760125017725,6632.245582994074,26625.766233766233,0.2572592566626394,0.0,2600,2900,3200,3300,3800,4300,5100,6600,6600,6600,6600
GET,GET /lich-trinh,100,0,2900,2960.6322937394725,1813.5946660186164,5180.415040988009,22762.0,0.3341029307307005,0.0,2900,3200,3300,3400,3900,4200,5100,5200,5200,5200,5200
GET,GET /scoreboard,372,0,2600,2709.1467715263107,1644.493166997563,6516.526416002307,15854.989247311827,1.2428629023182058,0.0,2600,2900,3100,3200,3500,3900,4700,6000,6500,6500,6500
GET,GET /scoreboard [auth],159,0,3000,3061.571243446234,1940.9223750117235,4758.49016700522,15593.0,0.5312236598618139,0.0,3000,3300,3400,3600,3800,4100,4400,4700,4800,4800,4800
GET,GET /the-le,130,0,2600,2648.236431377322,1720.8021660044324,4417.965499975253,17293.476923076923,0.43433380994991067,0.0,2600,2900,3100,3200,3600,3800,4100,4100,4400,4400,4400
GET,GET /tin-tuc,103,0,2700,2812.0049753509466,1695.6712499959394,6623.140250012511,17189.174757281555,0.34412601865262155,0.0,2700,3000,3200,3300,3700,3900,5700,6500,6600,6600,6600
GET,GET /tin-tuc/huong-dan-dang-ky-va-audition,46,0,2900,3102.6604365457465,1740.6170410104096,7262.940334010636,28565.91304347826,0.15368734813612223,0.0,3000,3200,3400,3600,4300,4400,7300,7300,7300,7300,7300
POST,POST /api/auth/callback/credentials [failed],160,0,4500,4613.34509769531,2730.3813330072444,10196.575791982468,16962.075,0.5345646891691208,0.0,4500,4900,5300,5600,6000,6600,7200,8100,10000,10000,10000
POST,POST /api/auth/callback/credentials [success],62,0,7600,7899.818952322089,3562.081375013804,13233.99816697929,17950.774193548386,0.2071438170530343,0.0,7600,8300,9000,9600,12000,13000,13000,13000,13000,13000,13000
,Aggregated,4387,0,2400,2587.742129125737,160.98620800767094,13233.99816697929,17062.00250740825,14.657095571155832,0.0,2400,2800,3100,3300,3800,4600,5900,7200,13000,13000,13000
