Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/csrf,602,0,110,322.15306471576497,21.413874987047166,5023.005999973975,80.0,5.033446074317805,0.0,110,160,220,280,570,1700,3400,3600,5000,5000,5000
GET,GET /api/auth/csrf [auth user],246,0,130,333.926333321071,27.801459014881402,4135.341917048208,80.0,2.0568567014654153,0.0,130,220,260,320,770,1500,3100,3500,4100,4100,4100
GET,GET /api/public/event-state [auth],415,0,21,136.7642756015713,8.096332952845842,3685.374708031304,400.0,3.4699005329599486,0.0,21,27,41,69,330,680,1300,2000,3700,3700,3700
GET,GET /api/public/scoreboard [auth],758,0,20,114.07249333708003,8.45845800358802,3521.0047499858774,1165.0,6.337794226466604,0.0,20,26,36,49,190,450,1300,2500,3500,3500,3500
GET,GET /dang-ky,820,0,410,786.9204289723534,56.86266697011888,6387.700708000921,20208.223170731708,6.856189004884717,0.0,410,710,970,1200,1900,2900,4300,4700,6400,6400,6400
GET,GET /dang-ky [discover action],40,0,470,1075.794517774193,271.4455829700455,4780.792167002801,20229.925,0.33444824414071794,0.0,470,670,800,2800,3100,4500,4800,4800,4800,4800,4800
GET,GET /dang-ky chunk,4,0,150,265.5454894993454,105.01229198416695,530.0567909725942,3517.0,0.033444824414071796,0.0,280,280,530,530,530,530,530,530,530,530,530
GET,GET /dang-nhap,821,0,370,747.6445935394595,58.507374953478575,5755.03966701217,19067.23264311815,6.864550210988235,0.0,370,620,900,1100,1700,2800,4300,5100,5800,5800,5800
GET,GET /dashboard,426,0,660,1127.8066145461937,111.11770902061835,6928.836125007365,19202.24178403756,3.561873800098646,0.0,660,990,1400,1600,2800,4100,5600,6300,6900,6900,6900
GET,GET /scoreboard [auth],603,0,610,1043.8307772498079,89.8361669969745,6221.2391659850255,27159.064676616916,5.041807280421323,0.0,610,940,1300,1500,2600,3700,4900,5400,6200,6200,6200
POST,POST /api/auth/callback/credentials [failed],596,1,750,1170.7072705593962,131.4578339806758,6710.207791998982,19206.67953020134,4.983278837696697,0.008361206103517949,750,1100,1300,1600,2500,4000,6100,6400,6700,6700,6700
POST,POST /api/auth/callback/credentials [success],246,0,740,1309.6400374398524,132.88587500574067,11516.347791999578,19019.556910569107,2.0568567014654153,0.0,770,1200,1600,1800,3300,4300,5500,5800,12000,12000,12000
POST,POST /dang-ky [register action],43,43,260,624.2387228818653,47.64783300925046,4291.255166986957,93.0,0.3595318624512718,0.3595318624512718,260,410,590,640,1300,3600,4300,4300,4300,4300,4300
,Aggregated,5620,44,300,690.2352129943168,8.096332952845842,11516.347791999578,13318.892882562277,46.98997830177087,0.3678930685547897,300,570,820,1000,1800,2900,4400,5200,6700,12000,12000
