Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789224145,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789224146,10,,Aggregated,0.000000,0.000000,370,470,470,470,470,510,510,510,510,510,510,13,0,370,369.141859069574,184.36458299402148,507.0464159944095,9302.23076923077
1789224147,20,,Aggregated,0.000000,0.000000,320,470,470,510,1100,1100,1300,1300,1300,1300,1300,37,0,320,429.6250664597579,33.05420803371817,1343.7240830389783,10859.621621621622
1789224148,30,,Aggregated,11.000000,0.000000,370,470,670,770,1100,1300,1900,1900,1900,1900,1900,66,0,360,504.29126388167566,21.853665995877236,1897.0643330249004,12178.727272727272
1789224149,40,,Aggregated,15.000000,0.000000,340,470,510,690,1100,1300,1900,1900,1900,1900,1900,91,0,340,457.6483205201329,11.16100000217557,1897.0643330249004,12215.23076923077
1789224150,50,,Aggregated,18.333333,0.000000,320,460,530,670,1100,1400,1900,3100,4000,4000,4000,120,0,310,479.18322365294443,11.16100000217557,3960.8285420108587,11765.366666666667
1789224151,60,,Aggregated,20.500000,0.000000,320,470,590,750,1300,2700,3100,4000,4100,4100,4100,166,0,320,578.1271541589332,11.16100000217557,4100.385333003942,12100.451807228916
1789224152,70,,Aggregated,21.200000,0.000000,310,470,650,800,1400,2700,3100,3700,4100,4100,4100,212,0,310,587.9044096237642,10.298291977960616,4100.385333003942,11630.650943396226
1789224153,80,,Aggregated,26.000000,0.000000,320,490,670,800,1500,2800,3200,3900,4100,4100,4100,262,1,320,616.0207250502533,10.298291977960616,4100.385333003942,11719.15648854962
1789224154,80,,Aggregated,26.285714,0.000000,320,510,770,900,2300,3100,3900,4100,4600,4600,4600,311,1,320,685.1266147009205,9.847792040091008,4595.77229100978,11512.707395498392
1789224155,80,,Aggregated,29.250000,0.000000,310,500,750,930,2400,3100,3900,4500,4800,4800,4800,352,1,310,697.5351300992439,9.847792040091008,4780.792167002801,11741.883522727272
1789224156,80,,Aggregated,31.555556,0.111111,290,480,740,930,2600,3100,4100,4600,5300,5300,5300,398,1,290,709.5287184923625,9.847792040091008,5251.446167007089,11761.412060301507
1789224157,80,,Aggregated,33.700000,0.100000,310,490,750,940,2700,3100,4200,4600,5300,5300,5300,423,1,310,727.6706299242281,9.847792040091008,5251.446167007089,11729.541371158393
1789224158,80,,Aggregated,36.500000,0.100000,320,550,850,1200,2900,3600,4700,5000,11000,11000,11000,460,1,320,839.2137209258457,9.847792040091008,11257.08129198756,12194.076086956522
1789224159,80,,Aggregated,38.400000,0.100000,340,650,1000,1400,2900,3600,4800,5000,12000,12000,12000,504,1,340,901.9163988928157,9.847792040091008,11516.347791999578,12428.277777777777
1789224160,80,,Aggregated,39.200000,0.100000,340,620,990,1300,2900,3600,4800,5000,12000,12000,12000,518,1,330,887.7554152179537,9.847792040091008,11516.347791999578,12553.264478764479
1789224161,80,,Aggregated,40.300000,0.100000,340,620,950,1300,2800,3500,4800,5000,12000,12000,12000,528,1,340,879.0959072763198,9.847792040091008,11516.347791999578,12527.554924242424
1789224162,80,,Aggregated,40.800000,0.100000,360,720,1100,1700,3100,4100,5100,5400,12000,12000,12000,552,2,360,991.9364954001377,9.847792040091008,11516.347791999578,12462.804347826086
