Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/auth/csrf,245,0,360,683.4097274082561,66.56204198952764,28579.455166996922,80.0,2.052678623061352,0.0,360,490,590,650,810,1300,3300,4400,29000,29000,29000
GET,GET /api/auth/csrf [auth user],129,0,590,8856.849149223724,82.49520801473409,42987.097000004724,80.0,1.080798132142508,0.0,590,1000,1500,18000,42000,42000,43000,43000,43000,43000,43000
GET,GET /api/public/event-state [auth],146,0,18,275.0177580200627,9.03141696471721,5368.477999989409,400.0,1.2232288937426834,0.0,18,28,43,98,1100,1900,2400,2500,5400,5400,5400
GET,GET /api/public/scoreboard [auth],285,0,18,103.31936970867805,8.755250019021332,3605.834165995475,1165.0,2.387809826826471,0.0,18,22,28,33,260,600,1000,1600,3600,3600,3600
GET,GET /dang-ky,286,0,2900,3061.3162555537265,634.3799590249546,28726.320207992103,20210.0,2.396188106920599,0.0,2900,3400,3600,3800,5000,6700,7100,7200,29000,29000,29000
GET,GET /dang-ky [discover action],40,0,6600,24854.578739548742,5044.832957966719,45229.569208982866,20210.0,0.33513120376511873,0.0,42000,43000,44000,44000,44000,45000,45000,45000,45000,45000,45000
GET,GET /dang-nhap,278,0,2600,2765.3982490654985,836.3862910191528,15656.404916953761,19066.0,2.329161866167575,0.0,2600,3200,3500,3700,4200,6300,7100,7200,16000,16000,16000
GET,GET /dashboard,146,0,3600,4546.114072212008,1171.1940840468742,38060.8619999839,19256.84931506849,1.2232288937426834,0.0,3600,4100,4500,6900,7500,8300,13000,30000,38000,38000,38000
GET,GET /scoreboard [auth],268,0,3400,3806.4283240417544,820.748416997958,29541.003290971275,27148.932835820895,2.2453790652262957,0.0,3400,3800,4100,4300,6500,7100,7800,23000,30000,30000,30000
POST,POST /api/auth/callback/credentials [failed],237,0,3800,3871.1536017839426,1101.2853750144131,8237.353667034768,19233.0,1.9856523823083285,0.0,3800,4200,4700,4900,6800,7700,8100,8200,8200,8200,8200
POST,POST /api/auth/callback/credentials [success],120,0,3400,4546.869354210988,1146.4872080250643,44856.87804099871,18533.925,1.0053936112953563,0.0,3400,4200,4800,5000,7300,11000,12000,44000,45000,45000,45000
,Aggregated,2180,0,2100,3286.70230271906,8.755250019021332,45229.569208982866,13384.797706422018,18.26465060519897,0.0,2100,3200,3700,4000,5900,7300,42000,43000,45000,45000,45000
