Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789223946,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789223947,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789223948,20,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2,0,1466.737499984447,1464.8971044807695,1463.056708977092,1466.737499984447,80.0
1789223949,30,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,2,0,1466.737499984447,1464.8971044807695,1463.056708977092,1466.737499984447,80.0
1789223950,40,,Aggregated,0.000000,0.000000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,4,0,1100,1274.3135524942772,1078.7907090270892,1466.737499984447,80.0
1789223951,50,,Aggregated,1.000000,0.000000,1500,1500,1500,1500,2100,2100,2100,2100,2100,2100,2100,6,0,1100,1389.5142781645216,1078.7907090270892,2134.1546250041574,80.0
1789223952,60,,Aggregated,0.666667,0.000000,1100,1100,1500,1500,2100,2100,2100,2100,2100,2100,2100,9,0,1100,1307.0935557738671,1078.7907090270892,2134.1546250041574,80.0
1789223953,70,,Aggregated,1.000000,0.000000,1100,1500,5900,5900,6300,6600,6600,6600,6600,6600,6600,21,0,1100,2533.293339382258,588.304957957007,6588.804791041184,5831.428571428572
1789223954,80,,Aggregated,1.200000,0.000000,1100,1500,5900,5900,6300,6600,6600,6600,6600,6600,6600,22,0,1100,2471.548091001089,588.304957957007,6588.804791041184,5570.0
1789223955,80,,Aggregated,1.500000,0.000000,1200,5900,6300,6300,6300,6600,6600,6600,6600,6600,6600,26,0,1100,2856.426346234422,588.304957957007,6588.804791041184,7048.076923076923
1789223956,80,,Aggregated,3.000000,0.000000,1500,6300,6300,6400,6600,7900,7900,7900,7900,7900,7900,30,0,1500,3428.819498704979,588.304957957007,7924.784125003498,8737.866666666667
1789223957,80,,Aggregated,2.750000,0.000000,5900,6200,6300,6300,6600,7900,7900,7900,7900,7900,7900,37,0,5900,3973.3723615676895,588.304957957007,7924.784125003498,10881.864864864865
1789223958,80,,Aggregated,3.000000,0.000000,2600,5000,5900,6200,6300,6600,7900,7900,7900,7900,7900,72,0,2400,3306.8507975007783,14.622125017922372,7924.784125003498,12045.152777777777
1789223959,80,,Aggregated,3.700000,0.000000,1700,5000,5400,5900,6300,6600,7900,7900,7900,7900,7900,83,0,1700,3087.290198351425,14.622125017922372,7924.784125003498,12560.036144578313
1789223960,80,,Aggregated,3.700000,0.000000,1700,5000,5000,5900,6300,6600,7900,7900,7900,7900,7900,91,0,1700,2888.204164880425,14.622125017922372,7924.784125003498,12628.461538461539
1789223961,80,,Aggregated,7.700000,0.000000,1600,4400,5000,5800,6300,6600,7900,7900,7900,7900,7900,100,0,1600,2753.445050881128,14.622125017922372,7924.784125003498,12933.68
1789223962,80,,Aggregated,7.700000,0.000000,1700,3300,5000,5800,6300,7900,11000,11000,12000,12000,12000,117,0,1700,2868.909010743229,12.707167014013976,12162.375584011897,13019.205128205129
1789223963,80,,Aggregated,9.100000,0.000000,1700,2400,5000,5000,6300,7500,11000,11000,12000,12000,12000,138,0,1700,2672.453526629766,11.775999970268458,12162.375584011897,13293.942028985508
